,planning_area,subzone,region,tree cover,shrubland,grassland,cropland,built-up,bare / sparse vegetation,snow and ice,permanent water bodies,herbaceous wetland,mangroves,moss and lichen,min_ndvi,mean_ndvi,max_ndvi
178,BUKIT PANJANG,NATURE RESERVE,WEST REGION,363,0,9,1,37,1,0,7,0,0,0,0.11184090144084914,0.2508054337310973,0.430321363928252
179,TAMPINES,TAMPINES EAST,EAST REGION,67,0,14,1,352,3,0,1,0,0,0,0.08424772212531774,0.15210930733719596,0.2244978659428082
180,HOUGANG,LORONG AH SOO,NORTH-EAST REGION,17,0,2,0,133,1,0,1,0,0,0,0.06778077640983869,0.1268372169069456,0.17666581107270163
181,PASIR RIS,FLORA DRIVE,EAST REGION,7,0,1,0,87,1,0,0,0,0,0,0.07975044495215945,0.14915722444660906,0.2228544514595414
182,BUKIT BATOK,HILLVIEW,WEST REGION,110,0,6,0,83,2,0,1,0,0,0,0.08782414064126955,0.21524822381977157,0.3641411645899675
183,CLEMENTI,TOH TUCK,WEST REGION,37,0,15,0,154,3,0,1,0,0,0,0.07095116261353433,0.1478991221911407,0.23328532050905443
184,NOVENA,MOUNT PLEASANT,CENTRAL REGION,231,0,11,0,73,1,0,0,0,0,0,0.13062843632013388,0.2171085508957886,0.3281959101729939
185,BUKIT TIMAH,HILLCREST,CENTRAL REGION,133,0,1,0,131,1,0,1,0,0,0,0.10976779463666203,0.20445009581004858,0.31389937194373124
186,TOA PAYOH,JOO SENG,CENTRAL REGION,13,0,2,0,92,1,0,0,0,0,0,0.05514517185599583,0.11769442371477362,0.17019610061831747
187,JURONG WEST,CHIN BEE,WEST REGION,6,0,1,0,122,1,0,2,0,0,0,0.05794456579586944,0.11286080465288367,0.18154487258918464
188,TOA PAYOH,LORONG 8 TOA PAYOH,CENTRAL REGION,12,0,1,0,31,1,0,2,0,0,0,0.06760989688750309,0.1354237453133602,0.19688836376820498
189,JURONG EAST,TOH GUAN,WEST REGION,20,0,4,0,52,1,0,1,0,0,0,0.06161979378600468,0.13673150800764616,0.21205205800566837
190,TAMPINES,SIMEI,EAST REGION,39,0,10,0,227,3,0,1,0,0,0,0.08154155675234726,0.1407816885477942,0.20321890723309247
191,JURONG WEST,BOON LAY PLACE,WEST REGION,26,0,4,0,62,1,0,0,0,0,0,0.0735064117530971,0.13824906830586248,0.23197284311152477
192,BUKIT BATOK,BUKIT BATOK EAST,WEST REGION,10,0,1,0,29,0,0,0,0,0,0,0.07699390336765327,0.18639145193035103,0.31961759817146185
193,BUKIT BATOK,BUKIT BATOK WEST,WEST REGION,8,0,4,0,42,1,0,0,0,0,0,0.07247884671955081,0.15032831311590572,0.23484889190768665
194,BUKIT BATOK,BUKIT BATOK CENTRAL,WEST REGION,13,0,1,0,67,1,0,0,0,0,0,0.07559374620761777,0.16513243009447545,0.26477643921787813
195,SERANGOON,UPPER PAYA LEBAR,NORTH-EAST REGION,9,0,2,0,81,1,0,0,0,0,0,0.05952594195128266,0.11543932688658083,0.17007112914805061
196,HOUGANG,TAI SENG,NORTH-EAST REGION,16,0,16,0,144,6,0,0,0,0,0,0.06366073931344,0.11841165374970129,0.1828396792385238
197,TUAS,TENGEH,WEST REGION,60,1,31,3,22,51,0,51,9,0,0,0.06938438095873663,0.14000993097250788,0.22626600939952718
198,JURONG EAST,YUHUA WEST,WEST REGION,20,0,2,0,55,2,0,1,0,0,0,0.06838472548432238,0.15190417248354812,0.22856815622078158
199,TOA PAYOH,BRADDELL,CENTRAL REGION,8,0,1,0,38,1,0,0,0,0,0,0.0710134327986352,0.13095681943697213,0.18700891994247748
200,TOA PAYOH,BIDADARI,CENTRAL REGION,22,0,1,0,32,4,0,1,0,0,0,0.06142600543778026,0.1283779356443236,0.18808352519317312
201,TOA PAYOH,WOODLEIGH,CENTRAL REGION,44,0,6,0,31,2,0,1,0,0,0,0.07111067033269151,0.1430808689752345,0.21629377815536002
202,JURONG WEST,TAMAN JURONG,WEST REGION,24,0,10,1,113,2,0,1,0,0,0,0.06461894652878382,0.13500947901317148,0.21382219755329923
203,JURONG EAST,LAKESIDE (LEISURE),WEST REGION,76,0,36,1,21,7,0,59,1,0,0,0.06853546559760955,0.14813714896408026,0.22812314986608506
204,TOA PAYOH,TOA PAYOH WEST,CENTRAL REGION,35,0,8,1,57,6,0,1,0,0,0,0.08574208945860644,0.14727015400764149,0.19834283725230786
205,BEDOK,KAKI BUKIT,EAST REGION,40,0,29,1,214,1,0,0,0,0,0,0.0793181406595886,0.15001579270371948,0.21792583653870776
206,JURONG EAST,YUHUA EAST,WEST REGION,23,0,1,0,70,1,0,1,0,0,0,0.06299638098729625,0.14319627785522457,0.21215893041038208
207,BUKIT BATOK,BUKIT BATOK SOUTH,WEST REGION,84,0,5,0,93,1,0,1,0,0,0,0.07355458861359257,0.16699985256642036,0.2801485439065269
208,JURONG WEST,JURONG WEST CENTRAL,WEST REGION,17,0,1,0,123,1,0,1,0,0,0,0.08084101031639153,0.12790284604871122,0.23395263258327548
209,BEDOK,BEDOK RESERVOIR,EAST REGION,78,0,9,0,67,2,0,84,0,0,0,0.08744152795204202,0.1665529459633337,0.24516149303771212
210,YISHUN,LOWER SELETAR,NORTH REGION,244,0,177,6,78,17,0,331,1,0,0,0.07856358086758962,0.18201975948407728,0.2781087210140321
211,PUNGGOL,NORTHSHORE,NORTH-EAST REGION,45,0,11,0,60,21,0,2,0,0,0,0.06278905315827357,0.12838855182508124,0.1861285151291776
212,MANDAI,MANDAI ESTATE,NORTH REGION,2,0,1,0,13,0,0,0,0,0,0,0.08087929532468627,0.18772172896546116,0.27895162306968796
