latitude,longitude,land_use_label,distance_to_waterbody,distance_to_open_space,subzone,planning_area,region,elevation,temp_2024_04_07_min,temp_2024_04_07_max,temp_2024_04_07_median,temp_2024_04_08_min,temp_2024_04_08_max,temp_2024_04_08_median,temp_2024_04_09_min,temp_2024_04_09_max,temp_2024_04_09_median,temp_2024_04_10_min,temp_2024_04_10_max,temp_2024_04_10_median
1.297742985,103.6212119,UTILITY,0.008704431994,0.05073588054,UNKNOWN,UNKNOWN,UNKNOWN,13,29.31008452,29.31008452,29.31008452,27.59269006,29.49102765,28.88073591,27.33170599,30.65398287,30.26633113,27.33170599,28.62330269,27.65460516
1.295922496,103.6254755,BUSINESS 2,0.006014597602,0.04919067505,TUAS VIEW,TUAS,WEST REGION,11,30.16878175,30.16878175,30.16878175,27.59269006,33.60357067,30.21755644,29.87867939,34.14284852,31.2064961,27.33170599,31.52939527,28.62330269
1.292478105,103.6389282,BUSINESS 2,0.005390761261,0.04494456815,TUAS BAY,TUAS,WEST REGION,7,28.88073591,29.31008452,29.31008452,27.59269006,30.16878175,29.31008452,28.62330269,30.88359692,30.26633113,27.33170599,30.88359692,27.97750434
1.303958171,103.6351909,UTILITY,0.007156091641,0.0368569714,TUAS VIEW,TUAS,WEST REGION,10,28.88073591,29.31008452,29.31008452,27.59269006,30.16878175,29.31008452,27.33170599,30.65398287,30.26633113,27.33170599,28.62330269,27.65460516
1.293149813,103.6199773,BUSINESS 2,0.006000339323,0.05490504921,UNKNOWN,UNKNOWN,UNKNOWN,8,28.88073591,29.31008452,28.88073591,27.59269006,29.49102765,28.88073591,27.33170599,30.65398287,29.87867939,27.33170599,28.62330269,27.65460516
1.305302139,103.6302172,BUSINESS 2,0.004863950353,0.03903459471,TUAS VIEW,TUAS,WEST REGION,11,28.45138729,30.16878175,29.52475883,27.59269006,33.60357067,30.16878175,29.87867939,31.52939527,30.7687899,27.33170599,31.52939527,28.62330269
1.300884244,103.6391214,BUSINESS 2,0.002248001489,0.03732092911,TUAS VIEW,TUAS,WEST REGION,0,28.45138729,29.31008452,29.09541021,27.59269006,30.16878175,29.40055609,28.62330269,30.88359692,30.26633113,27.33170599,31.2064961,27.97750434
1.297224398,103.6447054,RESERVE SITE,0.003962047607,0.03831923259,TUAS BAY,TUAS,WEST REGION,0,28.45138729,29.31008452,28.88073591,28.45138729,30.26633113,29.31008452,27.33170599,30.88359692,30.26633113,27.33170599,30.88359692,28.30040351
1.400572568,103.8112108,WATERBODY,0.0001974999526,0.0004248885282,CENTRAL WATER CATCHMENT,CENTRAL WATER CATCHMENT,NORTH REGION,12,28.02203868,28.45138729,28.02203868,26.73399283,28.88073591,28.02203868,27.65460516,29.87867939,28.32807244,26.68590763,27.65460516,27.33170599
1.349289393,103.7244533,COMMERCIAL & RESIDENTIAL,0.00341870643,0.001922624169,HONG KAH,JURONG WEST,WEST REGION,13,33.17422206,34.03291929,33.60357067,28.45138729,34.46226791,30.26633113,26.68590763,35.30580373,31.99606586,26.04010928,32.17519363,31.36794569
