latitude,longitude,land_use_label,distance_to_waterbody,distance_to_open_space,subzone,planning_area,region,elevation,temp_2024_04_07_min,temp_2024_04_07_max,temp_2024_04_07_median,temp_2024_04_08_min,temp_2024_04_08_max,temp_2024_04_08_median,temp_2024_04_09_min,temp_2024_04_09_max,temp_2024_04_09_median,temp_2024_04_10_min,temp_2024_04_10_max,temp_2024_04_10_median,Total_x,HDB Total,Condominiums & Other Apartments,Landed Properties_x,Other Dwellings_x,Floor_below_60,Floor_60-80,Floor_80-100,Floor_100-120,Floor_above_120,"Below $1,000","$1,000 - $1,999","$2,000 - $2,999","$3,000 - $3,999","$4,000 - $4,999","$5,000 - $5,999","$6,000 - $6,999","$7,000 - $7,999","$8,000 - $8,999","$9,000 - $9,999","$10,000 - 10,999","$11,000 - 11,999","$12,000 - $14,999","$15,000 & Over",tree cover,shrubland,grassland,cropland,built-up,bare / sparse vegetation,snow and ice,permanent water bodies,herbaceous wetland,mangroves,moss and lichen,min_ndvi,mean_ndvi,max_ndvi,avg_temp
1.347607435,103.6392644,RESERVE SITE,0.0009390538776,0.001900598324,TENGEH,TUAS,WEST REGION,13,28.88073591,29.31008452,28.88073591,27.59269006,29.31008452,28.88073591,27.33170599,30.26633113,29.49102765,27.33170599,27.97750434,27.65460516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,31,3,22,51,0,51,9,0,0,0.06938438096,0.140009931,0.2262660094,28.72677616
1.329050329,103.6557872,BUSINESS 2,0.0004006296865,0.004687950172,TUAS NORTH,TUAS,WEST REGION,10,33.60357067,34.03291929,34.03291929,28.02203868,34.89161652,31.42928635,26.04010928,35.69345547,32.78606743,26.04010928,32.17519363,31.52939527,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,9,0,295,4,0,0,0,0,0,0.04889138175,0.09856656256,0.1500582635,32.44441709
1.317468393,103.6518883,WATERBODY,0.0,0.01687467313,TUAS BAY,TUAS,WEST REGION,11,28.45138729,30.16878175,28.6660616,27.16334145,30.26633113,29.87867939,28.62330269,31.52939527,30.460157,27.33170599,31.52939527,28.30040351,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.32632538
1.322727296,103.6596555,BUSINESS 2,0.001994245946,0.008992477785,TUAS NORTH,TUAS,WEST REGION,9,28.45138729,33.60357067,29.52475883,28.02203868,34.46226791,30.26633113,29.87867939,34.918152,32.17519363,26.68590763,32.17519363,31.2064961,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,9,0,295,4,0,0,0,0,0,0.04889138175,0.09856656256,0.1500582635,30.79319492
1.324170292,103.6528931,BUSINESS 2,0.001577819534,0.010312345,TUAS NORTH,TUAS,WEST REGION,17,33.60357067,34.03291929,33.60357067,28.45138729,34.89161652,31.42928635,26.04010928,35.69345547,32.78606743,26.04010928,32.17519363,31.52939527,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,9,0,295,4,0,0,0,0,0,0.04889138175,0.09856656256,0.1500582635,32.33707993
1.318092965,103.658113,BUSINESS 2,0.004041254495,0.01385966567,TUAS NORTH,TUAS,WEST REGION,18,30.16878175,30.16878175,30.16878175,28.02203868,34.03291929,30.21755644,29.87867939,34.14284852,31.42928635,27.33170599,32.17519363,30.39924816,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,9,0,295,4,0,0,0,0,0,0.04889138175,0.09856656256,0.1500582635,30.55371818
1.318127095,103.6459274,BUSINESS 2,0.001627165695,0.01908164032,TUAS BAY,TUAS,WEST REGION,10,30.16878175,33.60357067,31.02747898,28.02203868,34.03291929,30.26633113,29.87867939,34.918152,31.52939527,27.33170599,32.17519363,31.04504651,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.96706297
1.319821339,103.6396158,BUSINESS 2,0.00239269535,0.02227107902,TUAS BAY,TUAS,WEST REGION,10,30.16878175,33.17422206,30.16878175,27.16334145,34.03291929,30.21755644,29.87867939,34.53050026,31.47934081,27.33170599,31.85229445,28.62330269,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.12224542
1.313450515,103.6424742,BUSINESS 2,0.003940476138,0.02489485952,TUAS BAY,TUAS,WEST REGION,9,28.45138729,30.16878175,28.45138729,28.02203868,33.17422206,30.16878175,29.87867939,31.52939527,30.7687899,27.33170599,31.52939527,28.62330269,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.50306541
1.312996221,103.6524522,BUSINESS 2,0.003712191158,0.02077418953,TUAS BAY,TUAS,WEST REGION,9,28.45138729,30.16878175,28.45138729,27.16334145,32.31552483,29.87867939,28.62330269,31.52939527,30.65398287,27.33170599,31.52939527,28.13895393,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.28075087
1.310803237,103.6601005,ROAD,0.002382909406,0.02005961102,GUL CIRCLE,PIONEER,WEST REGION,11,28.45138729,33.60357067,33.17422206,28.02203868,34.03291929,30.26633113,26.36300846,34.918152,31.69084486,26.36300846,31.52939527,31.04504651,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,12,1,288,6,0,1,0,0,0,0.05278675464,0.09504042563,0.1416977744,31.54411114
1.306696583,103.6501753,BUSINESS 2,0.008188761767,0.02746145711,TUAS BAY,TUAS,WEST REGION,9,28.45138729,30.16878175,28.45138729,28.02203868,33.17422206,30.16878175,29.87867939,31.52939527,30.65398287,27.33170599,31.52939527,28.62330269,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.47436365
1.323062674,103.6332733,BUSINESS 2,0.00205891561,0.02518011844,TUAS BAY,TUAS,WEST REGION,8,28.45138729,29.31008452,28.88073591,27.16334145,30.16878175,29.31008452,28.62330269,31.2064961,30.26633113,27.33170599,31.2064961,27.97750434,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.10866398
1.322325762,103.6436268,BUSINESS 2,0.001208425794,0.01757677175,TUAS BAY,TUAS,WEST REGION,13,28.45138729,33.60357067,30.16878175,28.02203868,34.03291929,30.26633113,29.87867939,34.918152,31.52939527,27.65460516,32.17519363,31.04504651,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.75238867
1.315559371,103.6284087,BUSINESS 2,0.0009848635697,0.03346128696,TUAS PROMENADE,TUAS,WEST REGION,8,28.88073591,29.31008452,28.88073591,27.59269006,29.31008452,28.88073591,27.33170599,30.65398287,29.68485352,27.33170599,28.62330269,27.65460516,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,67,1,186,61,0,56,0,0,0,0.04927733388,0.08580342632,0.1264881847,28.77523263
1.308875634,103.62403,BUSINESS 2,0.001111341769,0.04110614015,TUAS PROMENADE,TUAS,WEST REGION,10,28.88073591,29.31008452,28.88073591,28.02203868,29.31008452,28.88073591,27.33170599,30.26633113,29.49102765,27.33170599,27.97750434,27.65460516,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,67,1,186,61,0,56,0,0,0,0.04927733388,0.08580342632,0.1264881847,28.72677616
1.324515637,103.6376212,BUSINESS 2,0.001617824932,0.02073525944,TUAS BAY,TUAS,WEST REGION,10,30.16878175,33.60357067,30.16878175,28.02203868,34.03291929,30.26633113,29.87867939,34.918152,31.52939527,27.65460516,32.17519363,30.88359692,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.71202627
1.310152563,103.631691,BUSINESS 2,0.005110137199,0.03458094439,TUAS VIEW,TUAS,WEST REGION,11,28.88073591,29.31008452,29.31008452,27.59269006,30.16878175,29.31008452,28.62330269,30.65398287,30.26633113,27.33170599,30.88359692,27.97750434,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.21600113
